"index","image_path","dataset","mapped_class","sam_verdict","hsv_verdict","reason_code","notes"
"1","data\raw\riceleafbd\Bacterial Leaf Blight\313857637_831454774572196_484695248932998142_n.jpg","riceleafbd","bacterial_leaf_blight","PARTIAL","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"2","data\raw\riceleafbd\Bacterial Leaf Blight\311900983_689802402358732_3634352778830511459_n.jpg","riceleafbd","bacterial_leaf_blight","PARTIAL","FAIL","too_little_leaf","HSV loses too much subject leaf or disease tissue; SAM subject leaf remains usable."
"3","data\raw\riceleafbd\Bacterial Leaf Blight\313075917_3424973521160379_7569098915164717131_n.jpg","riceleafbd","bacterial_leaf_blight","PARTIAL","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"4","data\raw\riceleafbd\Bacterial Leaf Blight\310078353_660589472106425_3907303379127533192_n.jpg","riceleafbd","bacterial_leaf_blight","PARTIAL","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"5","data\raw\riceleafbd\Bacterial Leaf Blight\311877206_850779099448782_7344538294085096936_n.jpg","riceleafbd","bacterial_leaf_blight","PARTIAL","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"6","data\raw\riceleafbd\Brown Spot\315258105_1121822611851832_6151382853616864934_n.jpg","riceleafbd","brown_spot","PARTIAL","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"7","data\raw\riceleafbd\Brown Spot\310091333_655570942821741_6999184718027168547_n.jpg","riceleafbd","brown_spot","PARTIAL","PASS","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"8","data\raw\riceleafbd\Brown Spot\312200158_2052677011592758_4127150590826511509_n.jpg","riceleafbd","brown_spot","PARTIAL","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"9","data\raw\riceleafbd\Brown Spot\313497222_1182350742356260_5290045930983092519_n.jpg","riceleafbd","brown_spot","PARTIAL","PASS","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"10","data\raw\riceleafbd\Brown Spot\313218339_2107899189412026_6678791404989715775_n.jpg","riceleafbd","brown_spot","PARTIAL","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"11","data\raw\riceleafbd\Healthy Leaf\IMG20231027090504_01.jpg","riceleafbd","healthy","PARTIAL","FAIL","too_little_leaf","HSV loses too much subject leaf or disease tissue; SAM subject leaf remains usable."
"12","data\raw\riceleafbd\Healthy Leaf\IMG20231027092449_01.jpg","riceleafbd","healthy","PARTIAL","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"13","data\raw\riceleafbd\Healthy Leaf\IMG20231027090354_01.jpg","riceleafbd","healthy","PARTIAL","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"14","data\raw\riceleafbd\Healthy Leaf\IMG20231027090224_01.jpg","riceleafbd","healthy","PARTIAL","FAIL","too_little_leaf","HSV loses too much subject leaf or disease tissue; SAM subject leaf remains usable."
"15","data\raw\riceleafbd\Healthy Leaf\IMG20231027084048_01.jpg","riceleafbd","healthy","PARTIAL","FAIL","too_little_leaf","HSV loses too much subject leaf or disease tissue; SAM subject leaf remains usable."
"16","data\raw\riceleafbd\Tungro Virus\310166255_809485707004206_2941236105033104728_n.jpg","riceleafbd","tungro","PARTIAL","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"17","data\raw\riceleafbd\Tungro Virus\20231027_091458.jpg","riceleafbd","tungro","PARTIAL","PASS","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"18","data\raw\riceleafbd\Tungro Virus\20231027_092921.jpg","riceleafbd","tungro","PARTIAL","PASS","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"19","data\raw\riceleafbd\Tungro Virus\20231027_092903.jpg","riceleafbd","tungro","PARTIAL","PASS","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"20","data\raw\riceleafbd\Tungro Virus\312889488_574444127855327_2024543328451872117_n.jpg","riceleafbd","tungro","PARTIAL","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"21","data\raw\dhan_shomadhan\White Background\Brown Spot\bs_wb_88.jpg","dhan_shomadhan","brown_spot","PASS","PASS","",""
"22","data\raw\dhan_shomadhan\Field Background\Browon Spot\bsf_3.jpg","dhan_shomadhan","brown_spot","PARTIAL","FAIL","too_little_leaf","HSV loses too much subject leaf or disease tissue; SAM subject leaf remains usable."
"23","data\raw\dhan_shomadhan\White Background\Brown Spot\bs_wb_43.jpg","dhan_shomadhan","brown_spot","PASS","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"24","data\raw\dhan_shomadhan\Field Background\Browon Spot\bsf_32.jpg","dhan_shomadhan","brown_spot","PARTIAL","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"25","data\raw\dhan_shomadhan\White Background\Rice Blast\rb_wb_184.jpg","dhan_shomadhan","rice_blast","PASS","PASS","",""
"26","data\raw\dhan_shomadhan\White Background\Rice Blast\rb_wb_114.jpg","dhan_shomadhan","rice_blast","PASS","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"27","data\raw\dhan_shomadhan\Field Background\Rice Blast\rbf_68.jpg","dhan_shomadhan","rice_blast","PARTIAL","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"28","data\raw\dhan_shomadhan\White Background\Rice Blast\rb_wb_3.jpg","dhan_shomadhan","rice_blast","PASS","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"29","data\raw\dhan_shomadhan\White Background\Leaf Scaled\ls_wb_40.jpg","dhan_shomadhan","scald","PASS","FAIL","too_little_leaf","HSV loses too much subject leaf or disease tissue; SAM subject leaf remains usable."
"30","data\raw\dhan_shomadhan\White Background\Leaf Scaled\ls_wb_61.jpg","dhan_shomadhan","scald","PASS","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"31","data\raw\dhan_shomadhan\Field Background\Leaf Scaled\lsf_26.jpg","dhan_shomadhan","scald","PARTIAL","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"32","data\raw\dhan_shomadhan\White Background\Leaf Scaled\ls_wb_135.jpg","dhan_shomadhan","scald","PASS","PASS","",""
"33","data\raw\dhan_shomadhan\White Background\Shath Blight\sb_wb_137.jpg","dhan_shomadhan","sheath_blight","PASS","PASS","",""
"34","data\raw\dhan_shomadhan\Field Background\Sheath Blight\sbf_47.jpg","dhan_shomadhan","sheath_blight","PARTIAL","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"35","data\raw\dhan_shomadhan\White Background\Shath Blight\sb_wb_9.jpg","dhan_shomadhan","sheath_blight","PASS","PASS","",""
"36","data\raw\dhan_shomadhan\White Background\Shath Blight\sb_wb_75.jpg","dhan_shomadhan","sheath_blight","PASS","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"37","data\raw\dhan_shomadhan\White Background\Rice Tungro\rt_wb_57.jpg","dhan_shomadhan","tungro","PASS","PASS","",""
"38","data\raw\dhan_shomadhan\Field Background\Rice Turgro\rtf_6.jpg","dhan_shomadhan","tungro","PARTIAL","FAIL","too_little_leaf","HSV loses too much subject leaf or disease tissue; SAM subject leaf remains usable."
"39","data\raw\dhan_shomadhan\White Background\Rice Tungro\rt_wb_48.jpg","dhan_shomadhan","tungro","PASS","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"40","data\raw\dhan_shomadhan\White Background\Rice Tungro\rt_wb_62.jpg","dhan_shomadhan","tungro","PASS","PASS","",""
"41","data\raw\brri_rice_disease_pest\Healthy\HL_350.jpg","brri_rice_disease_pest","healthy","PASS","PASS","",""
"42","data\raw\brri_rice_disease_pest\Healthy\HL_201.jpg","brri_rice_disease_pest","healthy","PASS","PASS","",""
"43","data\raw\brri_rice_disease_pest\Insect\I_219.jpg","brri_rice_disease_pest","insect","PASS","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"44","data\raw\brri_rice_disease_pest\Insect\I_272.jpg","brri_rice_disease_pest","insect","PASS","PASS","",""
"45","data\raw\brri_rice_disease_pest\Rice Leaffolder\RLF_149.jpg","brri_rice_disease_pest","leaf_folder","PASS","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"46","data\raw\brri_rice_disease_pest\Rice Leaffolder\RLF_224.jpg","brri_rice_disease_pest","leaf_folder","PASS","FAIL","too_little_leaf","HSV loses too much subject leaf or disease tissue; SAM subject leaf remains usable."
"47","data\raw\brri_rice_disease_pest\Rice Blast\RB_373.jpg","brri_rice_disease_pest","rice_blast","PASS","PASS","",""
"48","data\raw\brri_rice_disease_pest\Rice Blast\RB_688.jpg","brri_rice_disease_pest","rice_blast","PASS","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"49","data\raw\brri_rice_disease_pest\Leaf Scald\LS_413.jpg","brri_rice_disease_pest","scald","PASS","PASS","",""
"50","data\raw\brri_rice_disease_pest\Leaf Scald\LS_338.jpg","brri_rice_disease_pest","scald","PASS","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"51","data\raw\brri_rice_disease_pest\Rice Stripes\RS_121.jpg","brri_rice_disease_pest","stripes","PASS","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"52","data\raw\brri_rice_disease_pest\Rice Stripes\RS_174.jpg","brri_rice_disease_pest","stripes","PASS","PASS","",""
"53","data\raw\brri_rice_disease_pest\Rice Tungro\RT_62.jpg","brri_rice_disease_pest","tungro","PASS","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"54","data\raw\brri_rice_disease_pest\Rice Tungro\RT_193.jpg","brri_rice_disease_pest","tungro","PASS","PASS","",""
"55","data\raw\brri_rice_disease_pest\Rice Stripes\RS_59.jpg","brri_rice_disease_pest","stripes","PASS","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"56","data\raw\brri_rice_disease_pest\Leaf Scald\LS_260.jpg","brri_rice_disease_pest","scald","PASS","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"57","data\raw\brri_rice_disease_pest\Insect\I_148.jpg","brri_rice_disease_pest","insect","PASS","PASS","",""
"58","data\raw\brri_rice_disease_pest\Rice Blast\RB_613.jpg","brri_rice_disease_pest","rice_blast","PASS","PASS","",""
"59","data\raw\brri_rice_disease_pest\Rice Stripes\RS_157.jpg","brri_rice_disease_pest","stripes","PASS","PARTIAL","too_much_background","Subject leaf remains usable, but mask is loose or removes some leaf tissue."
"60","data\raw\brri_rice_disease_pest\Insect\I_27.jpg","brri_rice_disease_pest","insect","PASS","PASS","",""
